Test ID,Test Name,Passed,HTTP Status,Short Details,Notes
45,GET /leave/all as employee (should fail),PASS,403,{'detail': 'Access denied'},Expected 403
46,Admin approve leave 39,PASS,200,"{'message': 'Leave request approved', 'leave': ""{'id': 39, 'leaveType': 'Casual Leave', 'startDate""}",Approved
47,Employee approve (should fail),PASS,403,{'detail': 'Access denied'},Expected 403
48,Approve non-existent (should fail),PASS,400,{'detail': 'Leave request not found'},Expected 404
49,Admin reject leave 40,PASS,200,"{'message': 'Leave request rejected', 'leave': ""{'id': 40, 'leaveType': 'Sick Leave', 'startDate':""}",Rejected
50,Employee sees approved leave,PASS,200,,status=approved
51,Employee 2 sees rejected leave,PASS,200,,status=rejected
52,DELETE /leaves/41 (own pending),PASS,200,{'message': 'Leave request deleted successfully'},Deleted
53,Delete approved leave (should fail),PASS,400,{'detail': 'Only pending leave requests can be deleted'},Cannot delete approved
54,Delete other employee's leave (should fail),PASS,403,"{'detail': ""You cannot delete another employee's leave request""}",Cannot delete other's
55,Delete non-existent (should fail),PASS,404,{'detail': 'Leave request not found'},Expected 404
56,GET /users/profile (employee),PASS,200,"{'id': '47', 'employee_id': '9806', 'name': 'Test Employee'}",Profile + balances
57,GET /users/profile no token (should fail),PASS,401,,Expected 401
58,GET /users (admin),PASS,200,,Found 30 users
59,GET /users as employee (should fail),PASS,403,,Expected 403
60,GET /users/47 (admin),PASS,200,"{'id': '47', 'employee_id': '9806', 'name': 'Test Employee'}",User detail
61,GET /users/99999 (should fail),PASS,404,,Expected 404
62,GET /users/{id} as employee (should fail),PASS,403,,Expected 403
63,GET /profile (employee),PASS,200,"{'employee_id': '9806', 'role': 'employee', 'name': 'Test Employee'}",Profile details
64,GET /profile (admin - employee only),PASS,403,{'detail': 'Access denied'},Expected 403 - employee only endpoint
65,PUT /profile (update),PASS,200,"{'employee_id': '9806', 'role': 'employee', 'name': 'Test Employee Updated'}",Updated
66,Update profile short name (should fail),PASS,422,"{'detail': 'Validation error', 'errors': ""[{'field': 'body -> name', 'message': 'String shou""}",Expected 4xx
67,Update profile invalid email (should fail),PASS,422,"{'detail': 'Validation error', 'errors': ""[{'field': 'body -> email', 'message': 'Value erro""}",Expected 4xx
68,Update profile missing fields (should fail),PASS,422,"{'detail': 'Validation error', 'errors': ""[{'field': 'body -> email', 'message': 'Field requ""}",Expected 4xx
69,Change password,PASS,200,{'message': 'Password updated successfully'},Password changed
70,Login with new password,PASS,200,"{'token_type': 'bearer', 'user': ""{'id': 47, 'name': 'Test Employee Updated', 'email""}",Verified
71,Wrong current password (should fail),PASS,400,{'detail': 'Current password is incorrect'},Expected 4xx
72,Too short new password (should fail),PASS,422,"{'detail': 'Validation error', 'errors': ""[{'field': 'body -> new_password', 'message': 'Str""}",Expected 4xx
73,Leave balance check,PASS,200,,"casual=10, sick=10, earned=20"
74,GET /api/nonexistent (should 404),PASS,404,,Expected 404
75,Admin -> /employee/dashboard (should fail),PASS,403,,Role isolation
76,Admin -> /leave/my (should fail),PASS,403,,Role isolation
77,Admin -> /leaves (should fail),PASS,403,,Role isolation
78,Admin -> /profile (should fail),PASS,403,,Role isolation
79,Employee -> /leave/all (should fail),PASS,403,,Role isolation
80,Employee -> /admin/dashboard (should fail),PASS,403,,Role isolation
81,Employee -> /users (should fail),PASS,403,,Role isolation
